Run0,Run1,Run2,Run3,Run4,Run5
-119588.93,-141118.93,-150929.93,-133155.93,-169920.93,-108759.93
100754.84,90660.84,88536.84,86312.84,90357.84,102370.84
94367.34,121698.34,126662.34,89718.34,101315.34,74610.34
123400.58,113670.58,131361.58,261865.58,121702.58,19700.58
36776.48,-115735.52,28504.48,49512.48,-15311.52,-47276.52
110070.83,46164.83,-4572.17,-26441.17,102626.83,-179160.17
81329.11,64718.11,60163.11,56472.11,29354.11,-66636.89
7568.17,3370.17,7314.17,5417.17,-18955.83,264778.17
33378.02,18838.02,24236.02,-462.98,9603.02,-101862.98
-34390.16,-62659.16,-24940.16,-62147.16,-55320.16,-175450.16
-14451.47,-2583.47,-30762.47,-8455.47,-7733.47,94068.53
-14427.07,-45607.07,-43429.07,-462196.07,-50064.07,3438.93
-141118.93,-150929.93,-133155.93,-169920.93,-108759.93,-82235.93
90660.84,88536.84,86312.84,90357.84,102370.84,187441.84
121698.34,126662.34,89718.34,101315.34,74610.34,136789.34
113670.58,131361.58,261865.58,121702.58,19700.58,211403.58
-115177.19,29062.81,50070.81,-14753.19,-46718.19,-156177.19
46164.83,-4572.17,-26441.17,102626.83,-179160.17,41425.83
64718.11,60163.11,56472.11,29354.11,-66636.89,147666.11
3370.17,7314.17,5417.17,-18955.83,264778.17,55549.17
18838.02,24236.02,-462.98,9603.02,-101862.98,10619.02
-62659.16,-24940.16,-62147.16,-55320.16,-175450.16,-214532.16
-2583.47,-30762.47,-8455.47,-7733.47,94068.53,-84896.47
-45607.07,-43429.07,-462196.07,-50064.07,3438.93,-26176.07
-150929.93,-133155.93,-169920.93,-108759.93,-82235.93,-134950.93
88536.84,86312.84,90357.84,102370.84,187441.84,120556.84
126662.34,89718.34,101315.34,74610.34,136789.34,139296.34
131361.58,261865.58,121702.58,19700.58,211403.58,89533.58
28504.48,49512.48,-15311.52,-47276.52,-156735.52,10615.48
-4572.17,-26441.17,102626.83,-179160.17,41425.83,75376.83
60163.11,56472.11,29354.11,-66636.89,147666.11,80812.11
7314.17,5417.17,-18955.83,264778.17,55549.17,70620.17
24236.02,-462.98,9603.02,-101862.98,10619.02,29316.02
-24940.16,-62147.16,-55320.16,-175450.16,-214532.16,-59554.16
-30762.47,-8455.47,-7733.47,94068.53,-84896.47,-18152.47
-43429.07,-462196.07,-50064.07,3438.93,-26176.07,-4368.07
-133155.93,-169920.93,-108759.93,-82235.93,-134950.93,-131664.93
86312.84,90357.84,102370.84,187441.84,120556.84,109125.84
89718.34,101315.34,74610.34,136789.34,139296.34,141554.34
261865.58,121702.58,19700.58,211403.58,89533.58,161917.58
49512.48,-15311.52,-47276.52,-156735.52,10615.48,5957.48
-26441.17,102626.83,-179160.17,41425.83,75376.83,-3857.17
56472.11,29354.11,-66636.89,147666.11,80812.11,29130.11
5417.17,-18955.83,264778.17,55549.17,70620.17,38035.17
-462.98,9603.02,-101862.98,10619.02,29316.02,-10046.98
-62147.16,-55320.16,-175450.16,-214532.16,-59554.16,-35111.16
-8455.47,-7733.47,94068.53,-84896.47,-18152.47,29753.53
-462196.07,-50064.07,3438.93,-26176.07,-4368.07,-35175.07
-169920.93,-108759.93,-82235.93,-134950.93,-131664.93,-125320.93
90357.84,102370.84,187441.84,120556.84,109125.84,99056.84
101315.34,74610.34,136789.34,139296.34,141554.34,115711.34
121702.58,19700.58,211403.58,89533.58,161917.58,151216.58
-15311.52,-47276.52,-156735.52,10615.48,5957.48,23388.48
102626.83,-179160.17,41425.83,75376.83,-3857.17,2020.83
29354.11,-66636.89,147666.11,80812.11,29130.11,34775.11
-18955.83,264778.17,55549.17,70620.17,38035.17,47180.17
9603.02,-101862.98,10619.02,29316.02,-10046.98,-5271.98
-55320.16,-175450.16,-214532.16,-59554.16,-35111.16,-96753.16
-7733.47,94068.53,-84896.47,-18152.47,29753.53,-43222.47
-50064.07,3438.93,-26176.07,-4368.07,-35175.07,-31112.07
-108759.93,-82235.93,-134950.93,-131664.93,-125320.93,-55723.93
102370.84,187441.84,120556.84,109125.84,99056.84,91811.84
74610.34,136789.34,139296.34,141554.34,115711.34,66393.34
19700.58,211403.58,89533.58,161917.58,151216.58,161866.58
