Outflow,Twelevation
41400,3143.477543
41450,3143.485372
41500,3143.493196
41550,3143.501015
41600,3143.50883
41650,3143.51664
41700,3143.524445
41750,3143.532246
41800,3143.540042
41850,3143.547833
41900,3143.55562
41950,3143.563402
42000,3143.571179
42050,3143.578952
42100,3143.58672
42150,3143.594483
42200,3143.602242
42250,3143.609996
42300,3143.617746
42350,3143.625491
42400,3143.633232
42450,3143.640968
42500,3143.648699
42550,3143.656426
42600,3143.664148
42650,3143.671866
42700,3143.679579
42750,3143.687288
42800,3143.694992
42850,3143.702692
42900,3143.710388
42950,3143.718078
43000,3143.725765
43050,3143.733446
43100,3143.741124
43150,3143.748797
43200,3143.756465
43250,3143.764129
43300,3143.771789
43350,3143.779444
43400,3143.787095
43450,3143.794741
43500,3143.802383
43550,3143.810021
43600,3143.817654
43650,3143.825283
43700,3143.832907
43750,3143.840528
43800,3143.848143
43850,3143.855755
43900,3143.863362
43950,3143.870965
44000,3143.878563
44050,3143.886157
44100,3143.893747
44150,3143.901332
44200,3143.908914
44250,3143.91649
44300,3143.924063
44350,3143.931631
44400,3143.939195
44450,3143.946755
44500,3143.954311
44550,3143.961862
44600,3143.969409
44650,3143.976952
44700,3143.984491
44750,3143.992025
44800,3143.999556
44850,3144.007082
44900,3144.014603
44950,3144.022121
45000,3144.029635
45050,3144.037144
45100,3144.044649
45150,3144.05215
45200,3144.059647
45250,3144.067139
45300,3144.074628
45350,3144.082112
45400,3144.089593
45450,3144.097069
45500,3144.104541
45550,3144.112009
45600,3144.119473
45650,3144.126932
45700,3144.134388
45750,3144.14184
45800,3144.149287
45850,3144.156731
45900,3144.16417
45950,3144.171605
46000,3144.179037
46050,3144.186464
46100,3144.193887
46150,3144.201306
46200,3144.208722
46250,3144.216133
46300,3144.22354
46350,3144.230943
46400,3144.238342
46450,3144.245738
46500,3144.253129
46550,3144.260516
46600,3144.267899
46650,3144.275279
46700,3144.282654
46750,3144.290025
46800,3144.297393
46850,3144.304756
46900,3144.312116
46950,3144.319472
47000,3144.326824
47050,3144.334171
47100,3144.341515
47150,3144.348855
47200,3144.356192
47250,3144.363524
47300,3144.370852
47350,3144.378177
47400,3144.385498
47450,3144.392814
47500,3144.400127
47550,3144.407437
47600,3144.414742
47650,3144.422043
47700,3144.429341
47750,3144.436635
47800,3144.443925
47850,3144.451211
47900,3144.458493
47950,3144.465772
48000,3144.473046
48050,3144.480317
48100,3144.487585
48150,3144.494848
48200,3144.502108
48250,3144.509364
48300,3144.516616
48350,3144.523864
48400,3144.531109
48450,3144.53835
48500,3144.545587
48550,3144.55282
48600,3144.56005
48650,3144.567276
48700,3144.574498
48750,3144.581717
48800,3144.588931
48850,3144.596143
48900,3144.60335
48950,3144.610554
49000,3144.617754
49050,3144.62495
49100,3144.632143
49150,3144.639332
49200,3144.646518
49250,3144.653699
49300,3144.660878
49350,3144.668052
49400,3144.675223
49450,3144.68239
49500,3144.689554
49550,3144.696714
49600,3144.70387
49650,3144.711023
49700,3144.718172
49750,3144.725318
49800,3144.73246
49850,3144.739598
49900,3144.746733
49950,3144.753864
50000,3144.760992
50050,3144.768116
50100,3144.775237
50150,3144.782354
50200,3144.789467
50250,3144.796577
50300,3144.803684
50350,3144.810787
50400,3144.817886
50450,3144.824982
50500,3144.832074
50550,3144.839163
50600,3144.846248
50650,3144.85333
50700,3144.860408
50750,3144.867483
50800,3144.874554
50850,3144.881622
50900,3144.888687
50950,3144.895748
51000,3144.902805
51050,3144.909859
51100,3144.91691
51150,3144.923957
51200,3144.931
51250,3144.93804
51300,3144.945077
51350,3144.952111
51400,3144.95914
51450,3144.966167
51500,3144.97319
51550,3144.98021
51600,3144.987226
51650,3144.994239
51700,3145.001248
51750,3145.008254
