,inflow
Jan-73,85454
Feb-73,139585
Mar-73,193488
Apr-73,355209
May-73,364460
Jun-73,93958
Jul-73,69390
Aug-73,73991
Sep-73,78556
Oct-73,61144
Nov-73,93285
Dec-73,82261
Jan-74,94693
Feb-74,86252
Mar-74,105111
Apr-74,67575
May-74,66491
Jun-74,72410
Jul-74,63218
Aug-74,70775
Sep-74,59725
Oct-74,65681
Nov-74,91492
Dec-74,77034
Jan-75,93797
Feb-75,68736
Mar-75,103437
Apr-75,102705
May-75,86848
Jun-75,63085
Jul-75,83848
Aug-75,68758
Sep-75,79487
Oct-75,67554
Nov-75,72919
Dec-75,61931
Jan-76,86047
Feb-76,92551
Mar-76,92938
Apr-76,91440
May-76,91779
Jun-76,57339
Jul-76,95684
Aug-76,57068
Sep-76,76900
Oct-76,89813
Nov-76,62082
Dec-76,75494
Jan-77,82557
Feb-77,72592
Mar-77,88610
Apr-77,79440
May-77,70709
Jun-77,62274
Jul-77,97559
Aug-77,123976
Sep-77,52711
Oct-77,94150
Nov-77,53465
Dec-77,38249
Jan-78,47590
Feb-78,61691
Mar-78,269840
Apr-78,89485
May-78,12417
Jun-78,63031
Jul-78,49495
Aug-78,80908
Sep-78,99654
Oct-78,77721
Nov-78,112710
Dec-78,229127
Jan-79,100908
Feb-79,152341
Mar-79,200756
Apr-79,283726
May-79,230480
Jun-79,90751
Jul-79,52375
Aug-79,72826
Sep-79,76749
Oct-79,56627
Nov-79,71619
Dec-79,103511
Jan-80,82422
Feb-80,404852
Mar-80,158050
Apr-80,207891
May-80,183514
Jun-80,68532
Jul-80,35690
Aug-80,101751
Sep-80,107462
Oct-80,51961
Nov-80,55004
Dec-80,49468
Jan-81,35342
Feb-81,39438
Mar-81,85181
Apr-81,83824
May-81,53255
Jun-81,49178
Jul-81,55179
Aug-81,62310
Sep-81,72082
Oct-81,114923
Nov-81,72354
Dec-81,101318
Jan-82,92547
Feb-82,122053
Mar-82,150301
Apr-82,115992
May-82,98732
Jun-82,68397
Jul-82,84923
Aug-82,112382
Sep-82,115176
Oct-82,21849
Nov-82,34171
Dec-82,93201
Jan-83,61106
Feb-83,98712
Mar-83,248250
Apr-83,150203
May-83,223395
Jun-83,128289
Jul-83,112397
Aug-83,68615
Sep-83,49216
Oct-83,111543
Nov-83,95920
Dec-83,120786
Jan-84,101148
Feb-84,91714
Mar-84,95175
Apr-84,98185
May-84,28696
Jun-84,36654
Jul-84,37987
Aug-84,119095
Sep-84,112515
Oct-84,103883
Nov-84,75012
Dec-84,98635
Jan-85,113305
Feb-85,92429
Mar-85,172954
Apr-85,112614
May-85,35278
Jun-85,48901
Jul-85,43530
Aug-85,30501
Sep-85,69670
Oct-85,90146
Nov-85,99222
Dec-85,100866
Jan-86,108566
Feb-86,123456
Mar-86,128419
Apr-86,114910
May-86,59082
Jun-86,74145
Jul-86,44699
Aug-86,82525
Sep-86,108811
Oct-86,77247
Nov-86,59761
Dec-86,71031
Jan-87,57891
Feb-87,75250
Mar-87,62294
Apr-87,100941
May-87,86477
Jun-87,87119
Jul-87,99011
Aug-87,125276
Sep-87,79756
Oct-87,104766
Nov-87,140058
Dec-87,101307
Jan-88,102866
Feb-88,109286
Mar-88,104553
Apr-88,142070
May-88,101655
Jun-88,76719
Jul-88,74072
Aug-88,103179
Sep-88,91891
Oct-88,85572
Nov-88,86383
Dec-88,86426
Jan-89,95044
Feb-89,88403
Mar-89,95483
Apr-89,87466
May-89,67780
Jun-89,66391
Jul-89,78321
Aug-89,98402
Sep-89,80296
Oct-89,89622
Nov-89,85357
Dec-89,95368
Jan-90,82020
Feb-90,68072
Mar-90,91038
Apr-90,62692
May-90,68718
Jun-90,81103
Jul-90,59590
Aug-90,84131
Sep-90,120121
Oct-90,84563
Nov-90,79985
Dec-90,79330
Jan-91,103752
Feb-91,94572
Mar-91,124842
Apr-91,116321
May-91,89092
Jun-91,77057
Jul-91,56831
Aug-91,92012
Sep-91,96810
Oct-91,90332
Nov-91,84044
Dec-91,83942
Jan-92,78264
Feb-92,98506
Mar-92,142580
Apr-92,144239
May-92,102479
Jun-92,64057
Jul-92,85976
Aug-92,127851
Sep-92,121184
Oct-92,92955
Nov-92,81721
Dec-92,88182
Jan-93,385931
Feb-93,283514
Mar-93,222887
Apr-93,169504
May-93,166291
Jun-93,87305
Jul-93,52743
Aug-93,49910
Sep-93,61048
Oct-93,95168
Nov-93,76475
Dec-93,74369
Jan-94,56643
Feb-94,68919
Mar-94,101447
Apr-94,68366
May-94,66171
Jun-94,54308
Jul-94,53539
Aug-94,45406
Sep-94,70061
Oct-94,89267
Nov-94,75539
Dec-94,83209
Jan-95,91891
Feb-95,148264
Mar-95,290032
Apr-95,71213
May-95,119560
Jun-95,125417
Jul-95,112449
Aug-95,107647
Sep-95,89201
Oct-95,101068
Nov-95,110950
Dec-95,125199
Jan-96,99518
Feb-96,92208
Mar-96,61662
Apr-96,84989
May-96,69017
Jun-96,53767
Jul-96,81268
Aug-96,93601
Sep-96,86924
Oct-96,97034
Nov-96,94501
Dec-96,69347
Jan-97,89773
Feb-97,88087
Mar-97,125461
Apr-97,91526
May-97,73849
Jun-97,85648
Jul-97,86308
Aug-97,111896
Sep-97,134683
Oct-97,101798
Nov-97,84036
Dec-97,76116
Jan-98,84514
Feb-98,85776
Mar-98,125450
Apr-98,160742
May-98,152801
Jun-98,88660
Jul-98,97283
Aug-98,78605
Sep-98,118661
Oct-98,84084
Nov-98,85291
Dec-98,80707
Jan-99,89057
Feb-99,79976
Mar-99,77899
Apr-99,83701
May-99,74428
Jun-99,70319
Jul-99,91403
Aug-99,102840
