,inflow
Nov-54,346374
Dec-54,287298
Jan-55,255833
Feb-55,249237
Mar-55,562115
Apr-55,710931
May-55,1993763
Jun-55,2341513
Jul-55,1174836
Aug-55,885416
Sep-55,346535
Oct-55,219232
Nov-55,275966
Dec-55,342792
Jan-56,365004
Feb-56,280978
Mar-56,571749
Apr-56,1053972
May-56,2926653
Jun-56,3504889
Jul-56,1112262
Aug-56,680002
Sep-56,288849
Oct-56,191413
Nov-56,302744
Dec-56,259496
Jan-57,297651
Feb-57,333983
Mar-57,474125
Apr-57,878830
May-57,2889416
Jun-57,6790968
Jul-57,4858314
Aug-57,1949273
Sep-57,985205
Oct-57,746112
Nov-57,810958
Dec-57,498026
Jan-58,390894
Feb-58,527759
Mar-58,671134
Apr-58,1610427
May-58,4780048
Jun-58,4500477
Jul-58,1257846
Aug-58,653520
Sep-58,423615
Oct-58,328067
Nov-58,354498
Dec-58,361726
Jan-59,304845
Feb-59,305145
Mar-59,354366
Apr-59,487365
May-59,1422316
Jun-59,2877629
Jul-59,1389991
Aug-59,736482
Sep-59,322670
Oct-59,555144
Nov-59,509873
Dec-59,354067
Jan-60,285975
Feb-60,308663
Mar-60,742510
Apr-60,1748018
May-60,2032109
Jun-60,3235688
Jul-60,1321275
Aug-60,563700
Sep-60,320255
Oct-60,355068
Nov-60,349739
Dec-60,266387
Jan-61,246005
Feb-61,312749
Mar-61,373366
Apr-61,636851
May-61,1695847
Jun-61,2510332
Jul-61,924536
Aug-61,696176
Sep-61,832005
Oct-61,802533
Nov-61,545887
Dec-61,374486
Jan-62,337574
Feb-62,729411
Mar-62,620161
Apr-62,2585277
May-62,4111052
Jun-62,3887117
Jul-62,2487676
Aug-62,884750
Sep-62,394885
Oct-62,542207
Nov-62,434429
Dec-62,343926
Jan-63,202192
Feb-63,368705
Mar-63,572022
Apr-63,769091
May-63,1860875
Jun-63,1828576
Jul-63,887456
Aug-63,659621
Sep-63,646109
Oct-63,289986
Nov-63,318158
Dec-63,227749
Jan-64,227247
Feb-64,233631
Mar-64,292967
Apr-64,619011
May-64,2430315
Jun-64,2902376
Jul-64,1664574
Aug-64,847351
Sep-64,327988
Oct-64,250557
Nov-64,290015
Dec-64,328025
Jan-65,342215
Feb-65,345973
Mar-65,393393
Apr-65,1342599
May-65,3336138
Jun-65,5562406
Jul-65,3750056
Aug-65,1552006
Sep-65,865586
Oct-65,845065
Nov-65,560645
Dec-65,520577
Jan-66,392813
Feb-66,364477
Mar-66,934639
Apr-66,1247012
May-66,2431492
Jun-66,1843730
Jul-66,1010284
Aug-66,560905
Sep-66,349087
Oct-66,318330
Nov-66,332153
Dec-66,377204
Jan-67,274882
Feb-67,319861
Mar-67,547277
Apr-67,582418
May-67,1846928
Jun-67,3837961
Jul-67,2033017
Aug-67,835002
Sep-67,403511
Oct-67,259909
Nov-67,325508
Dec-67,239190
Jan-68,321818
Feb-68,387655
Mar-68,494565
Apr-68,619493
May-68,2211325
Jun-68,4952291
Jul-68,1696878
Aug-68,1420247
Sep-68,409746
Oct-68,432170
Nov-68,394573
Dec-68,313739
Jan-69,400614
Feb-69,361125
Mar-69,545552
Apr-69,1911511
May-69,3765327
Jun-69,2892809
Jul-69,1991603
Aug-69,858936
Sep-69,584544
Oct-69,694039
Nov-69,518108
Dec-69,391796
Jan-70,357892
Feb-70,347394
Mar-70,421423
Apr-70,585390
May-70,3676415
Jun-70,4071363
Jul-70,1983374
Aug-70,889796
Sep-70,1118818
Oct-70,613981
Nov-70,489041
Dec-70,393108
Jan-71,434186
Feb-71,457884
Mar-71,609626
Apr-71,1357224
May-71,2483012
Jun-71,4371629
Jul-71,2087101
Aug-71,926307
Sep-71,622351
Oct-71,651910
Nov-71,528810
Dec-71,454971
Jan-72,448906
Feb-72,445694
Mar-72,815881
Apr-72,828391
May-72,1982436
Jun-72,3759166
Jul-72,1210671
Aug-72,705761
Sep-72,565843
Oct-72,1260483
Nov-72,641498
Dec-72,451082
Jan-73,424667
Feb-73,490407
Mar-73,890884
Apr-73,1438076
May-73,4575407
Jun-73,4847342
Jul-73,2680815
Aug-73,951622
Sep-73,619093
Oct-73,400989
Nov-73,457476
Dec-73,381670
Jan-74,393294
