,inflow
Dec-84,48635
Jan-85,63305
Feb-85,42429
Mar-85,122954
Apr-85,62614
May-85,-14722
Jun-85,-1099
Jul-85,-6470
Aug-85,-19499
Sep-85,19670
Oct-85,40146
Nov-85,49222
Dec-85,50866
Jan-86,58566
Feb-86,73456
Mar-86,78419
Apr-86,64910
May-86,9082
Jun-86,24145
Jul-86,-5301
Aug-86,32525
Sep-86,58811
Oct-86,27247
Nov-86,9761
Dec-86,21031
Jan-87,7891
Feb-87,25250
Mar-87,12294
Apr-87,50941
May-87,36477
Jun-87,37119
Jul-87,49011
Aug-87,75276
Sep-87,29756
Oct-87,54766
Nov-87,90058
Dec-87,51307
Jan-88,52866
Feb-88,59286
Mar-88,54553
Apr-88,92070
May-88,51655
Jun-88,26719
Jul-88,24072
Aug-88,53179
Sep-88,41891
Oct-88,35572
Nov-88,36383
Dec-88,36426
Jan-89,45044
Feb-89,38403
Mar-89,45483
Apr-89,37466
May-89,17780
Jun-89,16391
Jul-89,28321
Aug-89,48402
Sep-89,30296
Oct-89,39622
Nov-89,35357
Dec-89,45368
Jan-90,32020
Feb-90,18072
Mar-90,41038
Apr-90,12692
May-90,18718
Jun-90,31103
Jul-90,9590
Aug-90,34131
Sep-90,70121
Oct-90,34563
Nov-90,29985
Dec-90,29330
Jan-91,53752
Feb-91,44572
Mar-91,74842
Apr-91,66321
May-91,39092
Jun-91,27057
Jul-91,6831
Aug-91,42012
Sep-91,46810
Oct-91,40332
Nov-91,34044
Dec-91,33942
Jan-92,28264
Feb-92,48506
Mar-92,92580
Apr-92,94239
May-92,52479
Jun-92,14057
Jul-92,35976
Aug-92,77851
Sep-92,71184
Oct-92,42955
Nov-92,31721
Dec-92,38182
Jan-93,335931
Feb-93,233514
Mar-93,172887
Apr-93,119504
May-93,116291
Jun-93,37305
Jul-93,2743
Aug-93,-90
Sep-93,11048
Oct-93,45168
Nov-93,26475
Dec-93,24369
Jan-94,6643
Feb-94,18919
Mar-94,51447
Apr-94,18366
May-94,16171
Jun-94,4308
Jul-94,3539
Aug-94,-4594
Sep-94,20061
Oct-94,39267
Nov-94,25539
Dec-94,33209
Jan-95,41891
Feb-95,98264
Mar-95,240032
Apr-95,21213
May-95,69560
Jun-95,75417
Jul-95,62449
Aug-95,57647
Sep-95,39201
Oct-95,51068
Nov-95,60950
Dec-95,75199
Jan-96,49518
Feb-96,42208
Mar-96,11662
Apr-96,34989
May-96,19017
Jun-96,3767
Jul-96,31268
Aug-96,43601
Sep-96,36924
Oct-96,47034
Nov-96,44501
Dec-96,19347
Jan-97,39773
Feb-97,38087
Mar-97,75461
Apr-97,41526
May-97,23849
Jun-97,35648
Jul-97,36308
Aug-97,61896
Sep-97,84683
Oct-97,51798
Nov-97,34036
Dec-97,26116
Jan-98,34514
Feb-98,35776
Mar-98,75450
Apr-98,110742
May-98,102801
Jun-98,38660
Jul-98,47283
Aug-98,28605
Sep-98,68661
Oct-98,34084
Nov-98,35291
Dec-98,30707
Jan-99,39057
Feb-99,29976
Mar-99,27899
Apr-99,33701
May-99,24428
Jun-99,20319
Jul-99,41403
