,Run40
8-Dec,333783
9-Jan,384636
9-Feb,385979
9-Mar,565214
9-Apr,1224548
9-May,4161924
9-Jun,3469537
9-Jul,1858592
9-Aug,641899
9-Sep,413425
9-Oct,374132
9-Nov,400328
9-Dec,255719
10-Jan,368297
10-Feb,368157
10-Mar,625291
10-Apr,1329743
10-May,2175649
10-Jun,3754842
10-Jul,1253840
10-Aug,952630
10-Sep,471450
10-Oct,553853
10-Nov,401164
10-Dec,462216
11-Jan,310351
11-Feb,315678
11-Mar,641509
11-Apr,1249553
11-May,3079194
11-Jun,6693082
11-Jul,4489359
11-Aug,1291087
11-Sep,708020
11-Oct,634202
11-Nov,526658
11-Dec,360587
12-Jan,380894
12-Feb,383788
12-Mar,733188
12-Apr,1222167
12-May,1355172
12-Jun,1082243
12-Jul,744742
12-Aug,635975
12-Sep,375256
12-Oct,343876
12-Nov,313837
12-Dec,224855
13-Jan,214338
13-Feb,289392
13-Mar,358942
13-Apr,546051
13-May,1964760
13-Jun,1964487
13-Jul,874419
13-Aug,727240
13-Sep,1147231
13-Oct,647194
13-Nov,522087
13-Dec,337128
14-Jan,309294
14-Feb,373666
14-Mar,562319
14-Apr,1268500
14-May,2931190
14-Jun,3932550
14-Jul,1527018
14-Aug,898953
14-Sep,787978
14-Oct,880747
14-Nov,466070
14-Dec,423147
15-Jan,408683
15-Feb,526098
15-Mar,703813
15-Apr,851538
15-May,2114286
15-Jun,4264187
15-Jul,1649847
15-Aug,668650
15-Sep,476490
15-Oct,624902
15-Nov,442273
15-Dec,316833
16-Jan,359890
16-Feb,447960
16-Mar,681379
16-Apr,1107182
16-May,2989020
16-Jun,3954977
16-Jul,1394344
16-Aug,647331
16-Sep,511572
16-Oct,563386
16-Nov,428837
16-Dec,344264
17-Jan,414828
17-Feb,601676
17-Mar,1313269
17-Apr,1916965
17-May,3206554
17-Jun,4482383
17-Jul,1866046
17-Aug,930417
17-Sep,405868
17-Oct,570923
17-Nov,426523
17-Dec,326319
