,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsTo10MAF
723,12,5,6,2
724,12,5,7,1
725,12,5,8,1
726,12,5,9,1
727,12,5,10,1
728,12,5,11,1
729,12,6,3,40
730,12,6,4,40
731,12,6,5,40
732,12,6,6,40
733,12,6,7,2
734,12,6,8,1
735,12,6,9,1
736,12,6,10,1
737,12,6,11,1
738,12,7,3,40
739,12,7,4,40
740,12,7,5,40
741,12,7,6,40
742,12,7,7,40
743,12,7,8,2
744,12,7,9,1
745,12,7,10,1
746,12,7,11,1
747,12,8,3,40
748,12,8,4,40
749,12,8,5,40
750,12,8,6,40
751,12,8,7,40
752,12,8,8,40
753,12,8,9,2
754,12,8,10,1
755,12,8,11,1
756,12,9,3,40
757,12,9,4,40
758,12,9,5,40
759,12,9,6,40
760,12,9,7,40
761,12,9,8,40
762,12,9,9,40
763,12,9,10,2
764,12,9,11,1
765,12,10,3,40
766,12,10,4,40
767,12,10,5,40
768,12,10,6,40
769,12,10,7,40
770,12,10,8,40
771,12,10,9,40
772,12,10,10,40
773,12,10,11,2
774,12,11,3,40
775,12,11,4,40
776,12,11,5,40
777,12,11,6,40
778,12,11,7,40
779,12,11,8,40
780,12,11,9,40
781,12,11,10,40
782,12,11,11,40
783,12,12,3,40
784,12,12,4,40
785,12,12,5,40
786,12,12,6,40
787,12,12,7,40
788,12,12,8,40
789,12,12,9,40
790,12,12,10,40
791,12,12,11,40
792,12,13,3,40
793,12,13,4,40
794,12,13,5,40
795,12,13,6,40
796,12,13,7,40
797,12,13,8,40
798,12,13,9,40
799,12,13,10,40
800,12,13,11,40
801,12,14,3,40
802,12,14,4,40
803,12,14,5,40
804,12,14,6,40
805,12,14,7,40
806,12,14,8,40
807,12,14,9,40
808,12,14,10,40
809,12,14,11,40
810,12,15,3,40
811,12,15,4,40
812,12,15,5,40
813,12,15,6,40
814,12,15,7,40
815,12,15,8,40
816,12,15,9,40
817,12,15,10,40
818,12,15,11,40
819,13,3,3,40
820,13,3,4,3
821,13,3,5,2
822,13,3,6,1
823,13,3,7,1
824,13,3,8,1
825,13,3,9,1
826,13,3,10,1
827,13,3,11,1
828,13,4,3,40
829,13,4,4,40
830,13,4,5,3
831,13,4,6,2
832,13,4,7,1
833,13,4,8,1
834,13,4,9,1
835,13,4,10,1
836,13,4,11,1
837,13,5,3,40
838,13,5,4,40
839,13,5,5,40
840,13,5,6,3
841,13,5,7,2
842,13,5,8,1
843,13,5,9,1
844,13,5,10,1
845,13,5,11,1
846,13,6,3,40
847,13,6,4,40
848,13,6,5,40
849,13,6,6,40
850,13,6,7,3
851,13,6,8,2
852,13,6,9,1
853,13,6,10,1
854,13,6,11,1
855,13,7,3,40
856,13,7,4,40
857,13,7,5,40
858,13,7,6,40
859,13,7,7,40
860,13,7,8,3
861,13,7,9,2
862,13,7,10,1
863,13,7,11,1
864,13,8,3,40
865,13,8,4,40
866,13,8,5,40
867,13,8,6,40
868,13,8,7,40
869,13,8,8,40
870,13,8,9,3
871,13,8,10,2
872,13,8,11,1
873,13,9,3,40
874,13,9,4,40
875,13,9,5,40
876,13,9,6,40
877,13,9,7,40
878,13,9,8,40
879,13,9,9,40
880,13,9,10,3
881,13,9,11,2
882,13,10,3,40
883,13,10,4,40
884,13,10,5,40
885,13,10,6,40
886,13,10,7,40
887,13,10,8,40
888,13,10,9,40
889,13,10,10,40
890,13,10,11,3
891,13,11,3,40
892,13,11,4,40
893,13,11,5,40
894,13,11,6,40
895,13,11,7,40
896,13,11,8,40
897,13,11,9,40
898,13,11,10,40
899,13,11,11,40
900,13,12,3,40
901,13,12,4,40
902,13,12,5,40
903,13,12,6,40
904,13,12,7,40
905,13,12,8,40
906,13,12,9,40
907,13,12,10,40
908,13,12,11,40
909,13,13,3,40
910,13,13,4,40
911,13,13,5,40
912,13,13,6,40
913,13,13,7,40
914,13,13,8,40
915,13,13,9,40
916,13,13,10,40
917,13,13,11,40
918,13,14,3,40
919,13,14,4,40
920,13,14,5,40
921,13,14,6,40
922,13,14,7,40
923,13,14,8,40
924,13,14,9,40
925,13,14,10,40
926,13,14,11,40
927,13,15,3,40
928,13,15,4,40
929,13,15,5,40
930,13,15,6,40
931,13,15,7,40
932,13,15,8,40
933,13,15,9,40
934,13,15,10,40
935,13,15,11,40
936,14,3,3,40
937,14,3,4,4
938,14,3,5,2
939,14,3,6,2
940,14,3,7,1
941,14,3,8,1
942,14,3,9,1
943,14,3,10,1
944,14,3,11,1
945,14,4,3,40
946,14,4,4,40
947,14,4,5,4
948,14,4,6,2
949,14,4,7,2
950,14,4,8,1
951,14,4,9,1
952,14,4,10,1
953,14,4,11,1
954,14,5,3,40
955,14,5,4,40
956,14,5,5,40
957,14,5,6,4
958,14,5,7,2
959,14,5,8,2
960,14,5,9,1
961,14,5,10,1
962,14,5,11,1
963,14,6,3,40
964,14,6,4,40
965,14,6,5,40
966,14,6,6,40
967,14,6,7,4
968,14,6,8,2
969,14,6,9,2
970,14,6,10,1
971,14,6,11,1
972,14,7,3,40
973,14,7,4,40
974,14,7,5,40
975,14,7,6,40
976,14,7,7,40
977,14,7,8,4
978,14,7,9,2
979,14,7,10,2
980,14,7,11,1
981,14,8,3,40
982,14,8,4,40
983,14,8,5,40
984,14,8,6,40
985,14,8,7,40
986,14,8,8,40
987,14,8,9,4
988,14,8,10,2
989,14,8,11,2
990,14,9,3,40
991,14,9,4,40
992,14,9,5,40
993,14,9,6,40
994,14,9,7,40
995,14,9,8,40
996,14,9,9,40
997,14,9,10,4
998,14,9,11,2
999,14,10,3,40
1000,14,10,4,40
1001,14,10,5,40
1002,14,10,6,40
1003,14,10,7,40
1004,14,10,8,40
1005,14,10,9,40
1006,14,10,10,40
1007,14,10,11,4
1008,14,11,3,40
1009,14,11,4,40
1010,14,11,5,40
1011,14,11,6,40
1012,14,11,7,40
1013,14,11,8,40
1014,14,11,9,40
1015,14,11,10,40
1016,14,11,11,40
1017,14,12,3,40
1018,14,12,4,40
1019,14,12,5,40
1020,14,12,6,40
1021,14,12,7,40
1022,14,12,8,40
1023,14,12,9,40
1024,14,12,10,40
1025,14,12,11,40
1026,14,13,3,40
1027,14,13,4,40
1028,14,13,5,40
1029,14,13,6,40
1030,14,13,7,40
1031,14,13,8,40
1032,14,13,9,40
1033,14,13,10,40
1034,14,13,11,40
1035,14,14,3,40
1036,14,14,4,40
1037,14,14,5,40
1038,14,14,6,40
1039,14,14,7,40
1040,14,14,8,40
1041,14,14,9,40
1042,14,14,10,40
1043,14,14,11,40
1044,14,15,3,40
1045,14,15,4,40
1046,14,15,5,40
1047,14,15,6,40
1048,14,15,7,40
1049,14,15,8,40
1050,14,15,9,40
1051,14,15,10,40
1052,14,15,11,40
1053,15,3,3,40
1054,15,3,4,5
1055,15,3,5,3
1056,15,3,6,2
1057,15,3,7,2
1058,15,3,8,1
1059,15,3,9,1
1060,15,3,10,1
1061,15,3,11,1
1062,15,4,3,40
1063,15,4,4,40
1064,15,4,5,5
1065,15,4,6,3
1066,15,4,7,2
1067,15,4,8,2
1068,15,4,9,1
1069,15,4,10,1
1070,15,4,11,1
1071,15,5,3,40
1072,15,5,4,40
1073,15,5,5,40
1074,15,5,6,5
1075,15,5,7,3
1076,15,5,8,2
1077,15,5,9,2
1078,15,5,10,1
1079,15,5,11,1
1080,15,6,3,40
1081,15,6,4,40
1082,15,6,5,40
1083,15,6,6,40
1084,15,6,7,5
1085,15,6,8,3
1086,15,6,9,2
1087,15,6,10,2
1088,15,6,11,1
1089,15,7,3,40
1090,15,7,4,40
1091,15,7,5,40
1092,15,7,6,40
1093,15,7,7,40
1094,15,7,8,5
1095,15,7,9,3
1096,15,7,10,2
1097,15,7,11,2
1098,15,8,3,40
1099,15,8,4,40
1100,15,8,5,40
1101,15,8,6,40
1102,15,8,7,40
1103,15,8,8,40
1104,15,8,9,5
1105,15,8,10,3
1106,15,8,11,2
1107,15,9,3,40
1108,15,9,4,40
1109,15,9,5,40
1110,15,9,6,40
1111,15,9,7,40
1112,15,9,8,40
1113,15,9,9,40
1114,15,9,10,5
1115,15,9,11,3
1116,15,10,3,40
1117,15,10,4,40
1118,15,10,5,40
1119,15,10,6,40
1120,15,10,7,40
1121,15,10,8,40
