,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsToEmpty
1854,15,15.5,3,40
1855,15,15.5,3.5,40
1856,15,15.5,4,40
1857,15,15.5,4.5,40
1858,15,15.5,5,40
1859,15,15.5,5.5,40
1860,15,15.5,6,40
1861,15,15.5,6.5,40
1862,15,15.5,7,40
1863,15,15.5,7.5,40
1864,15,15.5,8,40
1865,15,15.5,8.5,40
1866,15,15.5,9,40
1867,15,15.5,9.5,40
1868,15,15.5,10,40
1869,15,15.5,10.5,40
1870,15,15.5,11,40
1871,15,15.5,11.5,40
1872,16,3,3,40
1873,16,3,3.5,40
1874,16,3,4,32
1875,16,3,4.5,17
1876,16,3,5,11
1877,16,3,5.5,9
1878,16,3,6,7
1879,16,3,6.5,6
1880,16,3,7,5
1881,16,3,7.5,5
1882,16,3,8,4
1883,16,3,8.5,4
1884,16,3,9,4
1885,16,3,9.5,3
1886,16,3,10,3
1887,16,3,10.5,3
1888,16,3,11,3
1889,16,3,11.5,3
1890,16,3.5,3,40
1891,16,3.5,3.5,40
1892,16,3.5,4,40
1893,16,3.5,4.5,32
1894,16,3.5,5,17
1895,16,3.5,5.5,11
1896,16,3.5,6,9
1897,16,3.5,6.5,7
1898,16,3.5,7,6
1899,16,3.5,7.5,5
1900,16,3.5,8,5
1901,16,3.5,8.5,4
1902,16,3.5,9,4
1903,16,3.5,9.5,4
1904,16,3.5,10,3
1905,16,3.5,10.5,3
1906,16,3.5,11,3
1907,16,3.5,11.5,3
1908,16,4,3,40
1909,16,4,3.5,40
1910,16,4,4,40
1911,16,4,4.5,40
1912,16,4,5,32
1913,16,4,5.5,17
1914,16,4,6,11
1915,16,4,6.5,9
1916,16,4,7,7
1917,16,4,7.5,6
1918,16,4,8,5
1919,16,4,8.5,5
1920,16,4,9,4
1921,16,4,9.5,4
1922,16,4,10,4
1923,16,4,10.5,3
1924,16,4,11,3
1925,16,4,11.5,3
1926,16,4.5,3,40
1927,16,4.5,3.5,40
1928,16,4.5,4,40
1929,16,4.5,4.5,40
1930,16,4.5,5,40
1931,16,4.5,5.5,32
1932,16,4.5,6,17
1933,16,4.5,6.5,11
1934,16,4.5,7,9
1935,16,4.5,7.5,7
1936,16,4.5,8,6
1937,16,4.5,8.5,5
1938,16,4.5,9,5
1939,16,4.5,9.5,4
1940,16,4.5,10,4
1941,16,4.5,10.5,4
1942,16,4.5,11,3
1943,16,4.5,11.5,3
1944,16,5,3,40
1945,16,5,3.5,40
1946,16,5,4,40
1947,16,5,4.5,40
1948,16,5,5,40
1949,16,5,5.5,40
1950,16,5,6,32
1951,16,5,6.5,17
1952,16,5,7,11
1953,16,5,7.5,9
1954,16,5,8,7
1955,16,5,8.5,6
1956,16,5,9,5
1957,16,5,9.5,5
1958,16,5,10,4
1959,16,5,10.5,4
1960,16,5,11,4
1961,16,5,11.5,3
1962,16,5.5,3,40
1963,16,5.5,3.5,40
1964,16,5.5,4,40
1965,16,5.5,4.5,40
1966,16,5.5,5,40
1967,16,5.5,5.5,40
1968,16,5.5,6,40
1969,16,5.5,6.5,32
1970,16,5.5,7,17
1971,16,5.5,7.5,11
1972,16,5.5,8,9
1973,16,5.5,8.5,7
1974,16,5.5,9,6
1975,16,5.5,9.5,5
1976,16,5.5,10,5
1977,16,5.5,10.5,4
1978,16,5.5,11,4
1979,16,5.5,11.5,4
1980,16,6,3,40
1981,16,6,3.5,40
1982,16,6,4,40
1983,16,6,4.5,40
1984,16,6,5,40
1985,16,6,5.5,40
1986,16,6,6,40
1987,16,6,6.5,40
1988,16,6,7,32
1989,16,6,7.5,17
1990,16,6,8,11
1991,16,6,8.5,9
1992,16,6,9,7
1993,16,6,9.5,6
1994,16,6,10,5
1995,16,6,10.5,5
1996,16,6,11,4
1997,16,6,11.5,4
1998,16,6.5,3,40
1999,16,6.5,3.5,40
2000,16,6.5,4,40
2001,16,6.5,4.5,40
2002,16,6.5,5,40
2003,16,6.5,5.5,40
2004,16,6.5,6,40
2005,16,6.5,6.5,40
2006,16,6.5,7,40
2007,16,6.5,7.5,32
2008,16,6.5,8,17
2009,16,6.5,8.5,11
2010,16,6.5,9,9
2011,16,6.5,9.5,7
2012,16,6.5,10,6
2013,16,6.5,10.5,5
2014,16,6.5,11,5
2015,16,6.5,11.5,4
2016,16,7,3,40
2017,16,7,3.5,40
2018,16,7,4,40
2019,16,7,4.5,40
2020,16,7,5,40
2021,16,7,5.5,40
2022,16,7,6,40
2023,16,7,6.5,40
2024,16,7,7,40
2025,16,7,7.5,40
2026,16,7,8,32
2027,16,7,8.5,17
2028,16,7,9,11
2029,16,7,9.5,9
2030,16,7,10,7
2031,16,7,10.5,6
2032,16,7,11,5
2033,16,7,11.5,5
2034,16,7.5,3,40
2035,16,7.5,3.5,40
2036,16,7.5,4,40
2037,16,7.5,4.5,40
2038,16,7.5,5,40
2039,16,7.5,5.5,40
2040,16,7.5,6,40
2041,16,7.5,6.5,40
2042,16,7.5,7,40
2043,16,7.5,7.5,40
2044,16,7.5,8,40
2045,16,7.5,8.5,32
2046,16,7.5,9,17
2047,16,7.5,9.5,11
2048,16,7.5,10,9
2049,16,7.5,10.5,7
2050,16,7.5,11,6
2051,16,7.5,11.5,5
2052,16,8,3,40
2053,16,8,3.5,40
2054,16,8,4,40
2055,16,8,4.5,40
2056,16,8,5,40
2057,16,8,5.5,40
2058,16,8,6,40
2059,16,8,6.5,40
2060,16,8,7,40
2061,16,8,7.5,40
2062,16,8,8,40
2063,16,8,8.5,40
2064,16,8,9,32
2065,16,8,9.5,17
2066,16,8,10,11
2067,16,8,10.5,9
2068,16,8,11,7
2069,16,8,11.5,6
2070,16,8.5,3,40
2071,16,8.5,3.5,40
2072,16,8.5,4,40
2073,16,8.5,4.5,40
2074,16,8.5,5,40
2075,16,8.5,5.5,40
2076,16,8.5,6,40
2077,16,8.5,6.5,40
2078,16,8.5,7,40
2079,16,8.5,7.5,40
2080,16,8.5,8,40
2081,16,8.5,8.5,40
2082,16,8.5,9,40
2083,16,8.5,9.5,32
2084,16,8.5,10,17
2085,16,8.5,10.5,11
2086,16,8.5,11,9
2087,16,8.5,11.5,7
2088,16,9,3,40
2089,16,9,3.5,40
2090,16,9,4,40
2091,16,9,4.5,40
2092,16,9,5,40
2093,16,9,5.5,40
2094,16,9,6,40
2095,16,9,6.5,40
2096,16,9,7,40
2097,16,9,7.5,40
2098,16,9,8,40
2099,16,9,8.5,40
2100,16,9,9,40
2101,16,9,9.5,40
2102,16,9,10,32
2103,16,9,10.5,17
2104,16,9,11,11
2105,16,9,11.5,9
2106,16,9.5,3,40
2107,16,9.5,3.5,40
2108,16,9.5,4,40
2109,16,9.5,4.5,40
2110,16,9.5,5,40
2111,16,9.5,5.5,40
2112,16,9.5,6,40
2113,16,9.5,6.5,40
2114,16,9.5,7,40
2115,16,9.5,7.5,40
2116,16,9.5,8,40
2117,16,9.5,8.5,40
2118,16,9.5,9,40
2119,16,9.5,9.5,40
2120,16,9.5,10,40
2121,16,9.5,10.5,32
2122,16,9.5,11,17
2123,16,9.5,11.5,11
2124,16,10,3,40
2125,16,10,3.5,40
2126,16,10,4,40
2127,16,10,4.5,40
2128,16,10,5,40
2129,16,10,5.5,40
2130,16,10,6,40
2131,16,10,6.5,40
2132,16,10,7,40
2133,16,10,7.5,40
2134,16,10,8,40
2135,16,10,8.5,40
2136,16,10,9,40
2137,16,10,9.5,40
2138,16,10,10,40
2139,16,10,10.5,40
2140,16,10,11,32
2141,16,10,11.5,17
2142,16,10.5,3,40
2143,16,10.5,3.5,40
2144,16,10.5,4,40
2145,16,10.5,4.5,40
2146,16,10.5,5,40
2147,16,10.5,5.5,40
2148,16,10.5,6,40
2149,16,10.5,6.5,40
2150,16,10.5,7,40
2151,16,10.5,7.5,40
2152,16,10.5,8,40
2153,16,10.5,8.5,40
2154,16,10.5,9,40
2155,16,10.5,9.5,40
2156,16,10.5,10,40
2157,16,10.5,10.5,40
2158,16,10.5,11,40
2159,16,10.5,11.5,32
2160,16,11,3,40
2161,16,11,3.5,40
2162,16,11,4,40
2163,16,11,4.5,40
2164,16,11,5,40
2165,16,11,5.5,40
2166,16,11,6,40
2167,16,11,6.5,40
2168,16,11,7,40
2169,16,11,7.5,40
2170,16,11,8,40
2171,16,11,8.5,40
2172,16,11,9,40
