,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsTo12MAF
388,12.0,13.5,8.0,40.0
389,12.0,13.5,8.5,40.0
390,12.0,13.5,9.0,40.0
391,12.0,13.5,9.5,40.0
392,12.0,13.5,10.0,40.0
393,12.0,13.5,10.5,40.0
394,12.0,13.5,11.0,40.0
395,12.0,13.5,11.5,40.0
396,12.0,14.0,3.0,40.0
397,12.0,14.0,3.5,40.0
398,12.0,14.0,4.0,40.0
399,12.0,14.0,4.5,40.0
400,12.0,14.0,5.0,40.0
401,12.0,14.0,5.5,40.0
402,12.0,14.0,6.0,40.0
403,12.0,14.0,6.5,40.0
404,12.0,14.0,7.0,40.0
405,12.0,14.0,7.5,40.0
406,12.0,14.0,8.0,40.0
407,12.0,14.0,8.5,40.0
408,12.0,14.0,9.0,40.0
409,12.0,14.0,9.5,40.0
410,12.0,14.0,10.0,40.0
411,12.0,14.0,10.5,40.0
412,12.0,14.0,11.0,40.0
413,12.0,14.0,11.5,40.0
414,12.0,14.5,3.0,40.0
415,12.0,14.5,3.5,40.0
416,12.0,14.5,4.0,40.0
417,12.0,14.5,4.5,40.0
418,12.0,14.5,5.0,40.0
419,12.0,14.5,5.5,40.0
420,12.0,14.5,6.0,40.0
421,12.0,14.5,6.5,40.0
422,12.0,14.5,7.0,40.0
423,12.0,14.5,7.5,40.0
424,12.0,14.5,8.0,40.0
425,12.0,14.5,8.5,40.0
426,12.0,14.5,9.0,40.0
427,12.0,14.5,9.5,40.0
428,12.0,14.5,10.0,40.0
429,12.0,14.5,10.5,40.0
430,12.0,14.5,11.0,40.0
431,12.0,14.5,11.5,40.0
432,12.0,15.0,3.0,40.0
433,12.0,15.0,3.5,40.0
434,12.0,15.0,4.0,40.0
435,12.0,15.0,4.5,40.0
436,12.0,15.0,5.0,40.0
437,12.0,15.0,5.5,40.0
438,12.0,15.0,6.0,40.0
439,12.0,15.0,6.5,40.0
440,12.0,15.0,7.0,40.0
441,12.0,15.0,7.5,40.0
